Total threads,DataGen Threads,Analyze threads,DataGen time,DataGen idle time,Transfer time,Transfer idle time,DRAM-NVM time,Analyze time,TestTime
16,15,1,886.170363,872.988112,886.319602,0.008649,149.167715,737.124978,886.319778
16,14,2,466.238123,452.770498,466.319797,0.008560,77.341165,388.947095,466.319932
16,13,3,324.821129,310.218370,324.879330,0.008792,53.425751,271.419714,324.879500
16,12,4,263.473065,248.732130,263.518890,0.008785,50.437624,213.045265,263.519068
16,11,5,360.784951,343.131029,360.823504,0.009432,154.339988,206.444035,360.823634
16,10,6,299.028907,280.378230,299.062088,0.009526,125.760097,173.260011,299.062289
16,9,7,255.989918,236.311116,256.019698,0.009852,105.841362,150.134179,256.019872
16,8,8,227.994996,205.779605,228.032356,0.006708,93.962027,134.024719,228.032501
16,7,9,219.114968,193.440234,219.148778,0.010953,95.717736,123.382992,219.148924
16,6,10,198.135673,168.090434,198.167486,0.012163,87.111976,111.006134,198.167683
16,5,11,179.215333,143.393185,179.244088,0.013015,79.524441,99.676355,179.244228
16,4,12,169.390867,123.704671,169.414842,0.054539,76.117224,93.210745,169.414978
16,3,13,138.828063,82.039647,138.858825,0.020246,55.260781,83.548463,138.858963
16,2,14,144.284753,50.676926,144.319662,0.078251,62.515765,81.702750,144.319791
16,1,15,192.710229,22.356516,192.764741,18.536362,70.571020,103.621372,192.764881
