16,15,1,253.957187,228.560155,253.997468,0.007163,45.308417,208.666955,253.997633
16,14,2,141.472835,115.138520,141.494739,0.019168,23.233157,118.217728,141.494921
16,13,3,100.679259,73.966722,100.694603,0.007175,19.586984,81.083468,100.694738
16,12,4,76.217269,48.780246,76.231726,0.009301,14.756334,61.450763,76.231860
16,11,5,61.942371,33.645014,61.953218,0.007324,11.892944,50.040967,61.953352
16,10,6,51.589059,21.932428,51.598562,0.013932,10.138538,41.435193,51.598649
16,9,7,45.627623,13.917770,45.636432,0.046171,9.036093,36.543845,45.636555
16,8,8,40.922807,5.803386,40.932671,0.274288,8.207153,32.438312,40.932810
16,7,9,39.789342,0.019619,39.802263,3.324349,7.525415,28.939245,39.802390
16,6,10,43.821096,0.020300,43.845003,11.061779,6.625806,26.143126,43.845135
16,5,11,49.722292,0.019269,49.729853,20.443506,5.873421,23.399477,49.729989
16,4,12,60.710785,0.017907,60.717902,34.510915,5.339766,20.853971,60.718037
16,3,13,78.516896,0.015388,78.526488,55.066705,4.864026,18.581371,78.526623
16,2,14,112.386508,0.008683,112.394779,90.073074,4.969146,17.336880,112.394907
16,1,15,203.976180,0.000881,203.987703,183.259841,4.654592,16.056876,203.987828
