Iteration_threads transfer_threads max_threads time
1, 8, 7, 1.736186
1, 7, 8, 1.743289
2, 7, 7, 1.045164
3, 7, 6, 0.828901
3, 6, 7, 0.828176
4, 6, 6, 0.674870
5, 6, 5, 0.705365
5, 5, 6, 0.700053
6, 5, 5, 0.675526
7, 5, 4, 0.506881
7, 4, 5, 0.509389
8, 4, 4, 0.511512
9, 4, 3, 0.489354
9, 3, 4, 0.490629
10, 3, 3, 0.555725
11, 3, 2, 0.473162
11, 2, 3, 0.469352
12, 2, 2, 0.450230
13, 2, 1, 0.690037
13, 1, 2, 0.594922
14, 1, 1, 0.852293
1, 8, 7, 1.739336
1, 7, 8, 1.738115
2, 7, 7, 1.046288
3, 7, 6, 0.830469
3, 6, 7, 0.844407
4, 6, 6, 0.672683
5, 6, 5, 0.703174
5, 5, 6, 0.702358
6, 5, 5, 0.669387
7, 5, 4, 0.508012
7, 4, 5, 0.507189
8, 4, 4, 0.513064
9, 4, 3, 0.517007
9, 3, 4, 0.487679
10, 3, 3, 0.572400
11, 3, 2, 0.474281
11, 2, 3, 0.471592
12, 2, 2, 0.448564
13, 2, 1, 0.690942
13, 1, 2, 0.595175
14, 1, 1, 0.852482
1, 8, 7, 1.741612
1, 7, 8, 1.740387
2, 7, 7, 1.045358
3, 7, 6, 0.827467
3, 6, 7, 0.829960
4, 6, 6, 0.672682
5, 6, 5, 0.700111
5, 5, 6, 0.700125
6, 5, 5, 0.669999
7, 5, 4, 0.507624
7, 4, 5, 0.507473
8, 4, 4, 0.511903
9, 4, 3, 0.489782
9, 3, 4, 0.489541
10, 3, 3, 0.566007
11, 3, 2, 0.470882
11, 2, 3, 0.474010
12, 2, 2, 0.449149
13, 2, 1, 0.689461
13, 1, 2, 0.605120
14, 1, 1, 0.852970
1, 8, 7, 1.737920
1, 7, 8, 1.738379
2, 7, 7, 1.049520
3, 7, 6, 0.825708
3, 6, 7, 0.827828
4, 6, 6, 0.673601
5, 6, 5, 0.700596
5, 5, 6, 0.706792
6, 5, 5, 0.669083
7, 5, 4, 0.508087
7, 4, 5, 0.509749
8, 4, 4, 0.513739
9, 4, 3, 0.492923
9, 3, 4, 0.490290
10, 3, 3, 0.556485
11, 3, 2, 0.471053
11, 2, 3, 0.468982
12, 2, 2, 0.449216
13, 2, 1, 0.689889
13, 1, 2, 0.618128
14, 1, 1, 0.852730
1, 8, 7, 1.740130
1, 7, 8, 1.739884
2, 7, 7, 1.046901
3, 7, 6, 0.829161
3, 6, 7, 0.831729
4, 6, 6, 0.674447
5, 6, 5, 0.703710
5, 5, 6, 0.700844
6, 5, 5, 0.670016
7, 5, 4, 0.509260
7, 4, 5, 0.507554
8, 4, 4, 0.513816
9, 4, 3, 0.490844
9, 3, 4, 0.491004
10, 3, 3, 0.555937
11, 3, 2, 0.472063
11, 2, 3, 0.467713
12, 2, 2, 0.453268
13, 2, 1, 0.689410
13, 1, 2, 0.595935
14, 1, 1, 0.852500
1, 8, 7, 1.740214
1, 7, 8, 1.739399
2, 7, 7, 1.045359
3, 7, 6, 0.827113
3, 6, 7, 0.828621
4, 6, 6, 0.677610
5, 6, 5, 0.706384
5, 5, 6, 0.702260
6, 5, 5, 0.667818
7, 5, 4, 0.525670
7, 4, 5, 0.586390
8, 4, 4, 0.512480
9, 4, 3, 0.492270
9, 3, 4, 0.490902
10, 3, 3, 0.555868
11, 3, 2, 0.473315
11, 2, 3, 0.480589
12, 2, 2, 0.450043
13, 2, 1, 0.690574
13, 1, 2, 0.594972
14, 1, 1, 0.853316
1, 8, 7, 1.752001
1, 7, 8, 1.740167
2, 7, 7, 1.046122
3, 7, 6, 0.829701
3, 6, 7, 0.827804
4, 6, 6, 0.673580
5, 6, 5, 0.717436
5, 5, 6, 0.702329
6, 5, 5, 0.670271
7, 5, 4, 0.509961
7, 4, 5, 0.509316
8, 4, 4, 0.511444
9, 4, 3, 0.489948
9, 3, 4, 0.491997
10, 3, 3, 0.555491
11, 3, 2, 0.471992
11, 2, 3, 0.469965
12, 2, 2, 0.450586
13, 2, 1, 0.688982
13, 1, 2, 0.614088
14, 1, 1, 0.852253
1, 8, 7, 1.734723
1, 7, 8, 1.730992
2, 7, 7, 1.046731
3, 7, 6, 0.828669
3, 6, 7, 0.828658
4, 6, 6, 0.675455
5, 6, 5, 0.700563
5, 5, 6, 0.702599
6, 5, 5, 0.667784
7, 5, 4, 0.507897
7, 4, 5, 0.513456
8, 4, 4, 0.509875
9, 4, 3, 0.487027
9, 3, 4, 0.489231
10, 3, 3, 0.559479
11, 3, 2, 0.472163
11, 2, 3, 0.468626
12, 2, 2, 0.452320
13, 2, 1, 0.690883
13, 1, 2, 0.594718
14, 1, 1, 0.852967
1, 8, 7, 1.741720
1, 7, 8, 1.741494
2, 7, 7, 1.042612
3, 7, 6, 0.828254
3, 6, 7, 0.826325
4, 6, 6, 0.674681
5, 6, 5, 0.703233
5, 5, 6, 0.700913
6, 5, 5, 0.673498
7, 5, 4, 0.509421
7, 4, 5, 0.512917
8, 4, 4, 0.511573
9, 4, 3, 0.489621
9, 3, 4, 0.488945
10, 3, 3, 0.560820
11, 3, 2, 0.471200
11, 2, 3, 0.468144
12, 2, 2, 0.449421
13, 2, 1, 0.689812
13, 1, 2, 0.594606
14, 1, 1, 0.853031
1, 8, 7, 1.741059
1, 7, 8, 1.737402
2, 7, 7, 1.044814
3, 7, 6, 0.846320
3, 6, 7, 0.829331
4, 6, 6, 0.674572
5, 6, 5, 0.701012
5, 5, 6, 0.701003
6, 5, 5, 0.684209
