1
1 DRAM,1895.86,5205.11,5160.74,5197.62,5313.16,5298.10,5316.15,5422.20,5670.14,6937.84
2 DRAM,2770.38,8127.73,5919.33,5180.68,5174.85,5308.01,5316.16,3036.45,5428.44,6099.51
3 DRAM,1854.23,5126.20,5160.49,5204.48,5315.62,5294.23,5324.73,5421.80,5771.32,7120.79
4 DRAM,1891.50,5209.72,5175.26,5210.74,5328.50,5312.35,5331.93,2510.92,7595.46,11415.62
5 DRAM,2698.96,7855.65,5645.63,5148.64,5150.62,3073.38,5275.64,5375.35,5417.27,6219.82
6 DRAM,2684.57,7788.01,5562.66,5127.09,5068.42,5167.48,5256.12,5280.42,5236.11,5519.98
7 DRAM,1886.85,5171.82,5142.33,5181.23,5300.33,5272.56,5305.53,5400.22,5705.43,6999.89
8 DRAM,2708.53,7912.53,5694.19,5163.37,5161.92,5305.55,5302.81,5265.74,5263.42,5463.47
9 DRAM,1891.80,5187.95,5158.55,5189.13,5316.98,5201.76,5316.92,5413.35,5671.67,7004.68
10 DRAM,2729.44,7946.87,5741.89,5154.51,5155.40,5295.07,5215.58,5304.86,5385.27,1597.94
11 DRAM,1903.91,5246.09,5176.05,5209.33,5196.86,5312.28,5333.30,5342.38,5695.13,6969.19
12 NVM,382.83,5742.01,7074.14,8847.74,8821.12,8863.92,8823.65,8849.65,8896.25,8899.27
13 NVM,385.22,6899.65,8823.21,8433.89,5107.87,8813.88,8788.16,8805.00,8868.20,8895.96
14 NVM,379.31,6152.90,8769.24,8783.73,8756.71,8689.09,4954.08,8578.58,8751.05,9074.21
15 NVM,481.95,1909.53,8837.00,8761.26,8750.39,8746.94,8726.58,8653.79,8470.00,8551.76
5
0 DRAM,1907.16,5779.68,5620.01,5674.14,5650.45,5657.31,5617.15,5662.96,5666.03,8187.70
1 DRAM,2815.21,7464.84,3276.05,5649.26,5689.90,5661.33,5667.61,5637.99,5674.68,6207.50
2 DRAM,2818.04,7499.73,6178.87,5455.00,3251.35,5387.77,5678.97,5658.23,5693.10,6233.47
3 DRAM,1926.36,5811.29,5644.18,5684.30,5666.62,5672.73,5630.06,5677.36,5649.38,2287.14
4 DRAM,2479.12,6993.01,5794.90,5665.46,5566.34,5686.84,5691.74,5572.14,5702.15,5703.22
5 DRAM,2798.87,7398.54,6086.31,5622.36,5656.97,5662.15,5654.59,5613.25,3254.16,5895.03
6 DRAM,2780.20,7336.02,5959.96,5599.63,5633.13,5492.87,5622.16,5582.07,5507.86,5592.96
7 DRAM,1933.79,5801.94,5631.38,5540.97,5652.61,5653.73,5570.66,5660.07,5591.28,8169.64
8 DRAM,2815.09,7468.47,6156.95,5653.27,5673.32,5680.37,3207.33,5631.60,5683.03,6129.70
9 DRAM,2801.55,3463.49,5645.73,5534.11,5675.43,5581.95,5584.31,5663.32,5562.40,7017.52
10 DRAM,1946.04,5832.07,5635.07,5669.62,5507.37,5660.61,5621.45,5546.33,5659.27,8080.24
11 NVM,368.54,7197.48,6875.75,5683.25,8809.75,8811.25,8821.21,8793.42,8760.07,8794.84
12 NVM,368.95,6611.90,8843.15,8875.04,8845.98,4894.96,8559.50,8766.50,8786.29,8752.60
13 NVM,383.86,5213.22,8870.60,8906.11,8722.91,8720.01,8558.53,8845.15,8822.58,8861.42
14 NVM,378.81,5721.19,8889.83,8927.32,8926.48,8916.04,8922.39,8805.72,4978.14,8820.97
15 NVM,391.51,4772.03,8673.83,8686.40,8883.17,8877.05,8871.89,8871.89,8879.07,8863.28
6
0 DRAM,1959.82,6005.15,5885.19,5962.21,6075.54,5965.25,5884.56,5959.99,6590.52,8356.75
1 DRAM,2918.61,8792.18,6845.95,5913.36,5905.97,5998.33,6055.19,5797.19,5899.45,6091.11
2 DRAM,2929.05,8843.15,6909.75,5931.53,5916.70,3286.27,5877.12,5831.67,6073.42,7100.32
3 DRAM,2888.14,3711.56,5813.34,5925.93,6094.12,6047.16,5905.26,5910.89,6151.60,7526.97
4 DRAM,2043.43,6215.47,5930.08,5973.80,6112.89,6032.77,5922.20,5963.61,6376.38,7860.01
5 DRAM,2895.92,8701.94,6740.40,5888.50,5894.58,6076.05,6028.66,5893.77,5884.52,6092.11
6 DRAM,2010.36,6030.34,5856.71,5923.64,6038.08,5945.48,5854.25,5876.39,6502.74,8200.72
7 DRAM,1981.37,6011.31,5883.11,5947.36,6061.37,5956.90,5877.45,5945.52,6549.16,8272.02
8 DRAM,2012.08,5977.78,5788.92,5969.99,6092.55,5994.35,5905.13,5969.73,6512.62,8158.89
9 DRAM,2890.75,8719.64,6743.06,5897.57,5906.83,6084.44,6037.10,5898.05,5890.67,1857.10
10 NVM,337.44,4589.41,8564.21,8408.04,8351.78,8566.59,8510.50,8555.19,8516.71,8676.36
11 NVM,346.26,5018.70,8673.50,8374.42,8347.56,8366.53,8554.60,8561.38,8527.87,5855.00
12 NVM,340.85,6189.82,4775.73,8167.47,8395.56,8574.63,8514.53,8569.95,8517.89,8691.02
13 NVM,340.95,5901.14,8664.71,8480.01,7097.55,5267.44,8497.84,8548.75,8502.18,8671.57
14 NVM,343.84,5314.10,8522.88,8508.51,8397.76,8443.10,8401.64,4725.93,8214.56,8574.81
15 NVM,347.87,4774.32,8609.05,8482.43,8343.24,8350.56,8490.00,8467.62,8496.00,8476.96
7
0 DRAM,2011.25,6317.86,6330.79,6389.60,6537.17,6462.45,6449.25,6554.26,6937.10,8541.31
1 DRAM,2035.82,6353.32,6355.13,6394.66,6561.60,6493.22,6466.45,6574.65,6921.26,8323.88
2 DRAM,2978.87,10129.41,7522.05,6370.49,6317.79,6468.80,6475.87,6424.31,3540.99,7147.32
3 DRAM,2958.28,10029.53,7405.08,6350.59,6307.51,6462.79,6491.45,6410.03,6576.70,6604.55
4 DRAM,2074.71,6458.72,6371.53,6401.03,6576.43,6520.89,6478.00,6594.37,6893.05,8045.99
5 DRAM,2070.36,6397.11,6329.44,6357.91,6541.77,6476.45,6436.10,6554.37,6877.58,8183.01
6 DRAM,2941.50,9805.90,7003.90,6115.39,6289.33,3752.90,5625.68,6507.66,6541.21,7351.18
7 DRAM,2048.81,6342.41,6324.64,6369.48,6528.19,6464.12,6261.86,6549.76,6909.36,8434.29
8 DRAM,2418.97,8067.53,6360.69,6351.60,6460.39,6570.44,6430.61,6531.38,6339.42,2387.05
9 NVM,330.89,4732.20,7812.92,7881.50,7834.49,7880.85,7848.33,7965.51,7710.40,7903.26
10 NVM,330.82,4474.70,7785.44,7844.37,7802.70,7852.11,7802.45,7934.07,7735.22,8032.98
11 NVM,333.32,6916.10,7984.66,7792.03,7727.56,4344.60,7777.30,7909.28,7706.02,8023.82
12 NVM,331.63,5087.21,7847.60,7885.93,7690.75,7742.45,7813.80,7858.78,7848.94,7923.22
13 NVM,330.64,7982.52,8010.34,4413.21,7667.72,7879.29,7838.18,7966.70,7768.84,8006.53
14 NVM,332.19,6779.69,7937.34,7808.53,7838.49,7905.80,7710.91,4588.14,7783.20,8092.38
15 NVM,330.73,6186.08,7883.95,7863.83,7847.40,7888.30,7837.49,7901.19,7074.14,4906.61
8
0 DRAM,2077.44,7020.66,7034.67,6995.97,6903.57,6828.97,6856.92,7100.73,8415.34,8754.61
1 DRAM,2146.76,7145.28,7112.37,7068.20,6975.18,6878.73,6894.98,7143.75,8179.16,8632.51
2 DRAM,2289.38,7663.57,4559.57,5092.20,6897.18,6901.13,7082.93,7506.95,8987.60,9820.96
3 DRAM,3102.71,10657.07,8449.87,7059.81,7107.36,6947.25,6901.70,6886.31,7013.48,7228.73
4 DRAM,3125.05,10913.31,8664.75,7095.54,7111.17,7078.96,6946.28,6902.92,6812.85,7192.47
5 DRAM,2105.21,7049.42,7051.13,7049.51,6926.71,6844.66,6853.65,3025.15,9907.01,11104.23
6 DRAM,2134.21,7028.61,7020.56,7001.30,6798.15,6678.41,6819.89,7086.10,8307.94,8647.29
7 DRAM,2294.43,6203.84,6893.85,6873.50,6847.61,6841.87,6557.08,7125.33,8065.61,8631.34
8 NVM,288.41,5344.54,7285.15,7215.82,7429.32,7271.90,7448.06,7309.98,4261.05,7940.88
9 NVM,288.53,4981.27,7241.72,7390.67,7354.19,7145.92,7372.49,7255.94,7325.06,7259.30
10 NVM,290.48,5791.71,7566.91,7313.29,4897.79,5776.40,7375.45,7315.15,7387.67,7599.47
11 NVM,289.89,4600.01,7266.03,7418.57,7239.48,7272.96,7397.24,7283.12,7358.48,7278.71
12 NVM,288.51,6514.37,6478.13,4635.46,7261.04,7410.56,7317.53,7299.11,7357.57,7608.54
13 NVM,288.37,5574.00,7338.10,7381.03,7416.78,7241.29,4219.54,7230.96,7348.04,7819.45
14 NVM,288.61,4291.82,7207.79,7467.73,7301.84,7330.94,7353.38,7281.80,7289.16,7457.75
15 NVM,289.21,4407.21,7244.44,7489.24,7226.80,7335.41,7405.70,7315.52,7366.04,7368.24
9
0 DRAM,2140.69,7467.39,7474.40,7463.17,7473.11,7486.46,7643.87,7816.96,8825.74,10887.99
1 DRAM,2171.66,7527.32,7504.38,7497.27,7501.59,7522.82,7633.70,7856.42,8651.87,10911.53
2 DRAM,3162.49,9888.51,8415.17,7525.69,7539.24,7531.01,7528.10,7323.90,3985.88,10355.59
3 DRAM,3120.49,9809.27,8274.42,7495.17,7514.24,7439.44,7512.02,7542.34,7746.42,7722.57
4 DRAM,3160.96,9890.71,8409.45,7524.13,7539.92,7532.64,7419.30,7496.00,7877.12,7895.46
5 DRAM,3131.13,9743.26,8222.33,7458.97,7475.59,7463.03,7289.36,7500.71,7815.93,7884.37
6 DRAM,2172.63,7276.63,7274.55,7340.25,7414.82,7430.70,7582.39,7766.28,8864.65,10779.93
7 NVM,245.15,5369.83,6676.76,6885.28,6791.66,6593.07,6870.46,6705.73,6833.81,6808.94
8 NVM,245.40,4208.89,6772.09,6877.25,6728.34,6770.74,6806.68,6787.43,6772.37,7169.87
9 NVM,245.23,4550.56,6774.20,6733.24,6735.48,6751.88,6814.81,6757.70,6794.51,7043.68
10 NVM,245.51,5872.56,6850.25,6837.49,6775.59,6643.61,6824.25,6671.56,5736.64,4709.76
11 NVM,245.74,4307.22,6746.47,6847.99,6708.91,6734.54,6788.26,6748.75,6763.76,7075.39
12 NVM,245.25,5096.27,6781.76,6862.42,6764.78,6710.51,6848.44,6679.36,6820.47,6820.21
