1
1 DRAM,2539.34,5317.88,2853.39,4258.87,4324.50,4352.09,4302.14,4333.89,4307.12,4830.28
2 DRAM,1709.93,4332.30,2879.49,3321.45,3045.58,4310.53,4438.27,4526.40,7361.74,11357.25
3 DRAM,2526.71,5296.16,4325.42,4296.18,4344.00,4342.76,4239.40,4279.00,4380.35,4381.82
4 DRAM,2535.51,5317.61,4337.82,4303.41,4347.36,4350.23,4342.96,4194.63,2698.01,4980.25
5 DRAM,2528.31,3046.26,4282.44,4317.79,4216.35,4330.89,4277.78,4384.82,4393.38,4972.99
6 DRAM,1746.42,4328.63,4267.21,4217.79,4311.88,4306.45,4246.85,2778.38,4437.78,10507.93
7 DRAM,2540.82,5301.36,4321.50,4286.50,4200.94,4331.14,4322.86,4264.41,4428.97,4335.84
8 DRAM,2540.31,3471.25,4177.33,4308.14,4324.75,4352.41,4307.51,4345.22,4416.67,4728.11
9 DRAM,2520.26,5206.38,4316.24,4290.68,4235.79,4345.33,4326.77,2579.48,4378.89,5203.76
10 DRAM,2515.01,5263.26,4311.81,4288.36,2557.77,4329.12,4272.73,4404.34,4377.30,5168.33
11 DRAM,2536.23,5270.82,4342.37,4205.12,4354.64,4352.33,4349.04,4283.22,4455.48,4382.89
12 NVM,2209.55,4478.98,4082.45,4092.95,4104.39,4036.42,4019.40,4176.37,4078.60,5218.34
13 NVM,2205.23,4452.97,4061.96,4067.50,4082.27,4094.16,4044.12,4150.71,1368.25,6832.00
14 NVM,2225.63,4467.39,4072.35,4080.70,4093.50,2844.02,3979.47,4175.23,4286.33,6778.54
15 NVM,2226.10,4480.34,4073.76,4078.94,4094.05,4104.75,4049.38,4159.97,4138.42,5081.32
5
0 DRAM,1722.53,4314.94,4303.53,4318.70,4291.08,4356.05,4316.94,4285.31,4437.66,5966.92
1 DRAM,1775.17,4371.33,4268.93,4289.79,4299.30,4368.29,4341.24,4289.75,4378.88,1717.51
