

DRAM,4017.45,4152.33,4148.77,4137.45,4148.04,4149.83,4144.25,3865.71,3699.93,3321.95,4047.17,4214.01,4162.69,4253.29,4150.01,3882.34,3980.80,3310.90,4209.81,4146.04,4107.72,4055.56,3824.29,4161.20,4101.41,4250.59,4103.40,3852.70,3796.65,4241.99,4181.45,3803.73,3663.65,3768.57,3991.72,4188.13,4197.69,4288.75,4087.28,4178.26,4160.63,4076.13,3393.81,3813.12,3608.81,3972.75,3740.08,4462.54,6026.07,11503.35
DRAM,4061.93,4138.21,4237.64,4085.44,4132.91,4158.55,4184.98,4225.94,4270.73,4140.05,3926.33,4323.58,4214.18,4454.76,4050.46,4261.48,4216.72,4360.30,4372.71,4243.96,4146.42,4121.62,4435.69,4234.98,4233.46,4442.84,4310.20,4279.71,3874.09,4394.29,4157.28,3899.47,4310.57,4078.61,4350.87,4196.30,4089.06,4395.64,4370.43,4298.72,4432.10,4122.95,4258.02,3836.44,4193.56,3989.68,4325.72,3422.32,4273.51,4365.53
DRAM,4210.79,4188.93,4183.90,4100.07,4201.30,4196.08,4213.31,3990.36,4387.01,4512.05,4351.80,4144.76,4142.23,2976.21,4385.43,4429.25,4148.77,3216.91,3356.33,4315.94,4076.94,3969.77,4020.53,4304.47,4145.76,4138.61,4279.27,4285.05,4090.29,4062.06,4304.22,3912.52,4321.29,4144.68,4331.84,4204.15,4234.11,4284.76,4256.45,4247.28,4181.72,4070.92,3842.10,3641.99,4446.77,3623.48,4401.99,3801.39,4382.88,5403.02
DRAM,4225.03,4213.25,4230.53,3939.05,4084.25,4202.95,4155.99,3938.45,4314.67,4727.61,4512.95,4342.51,4144.45,3424.17,4062.47,4295.28,4123.66,3640.38,4327.99,3943.00,3753.16,4274.80,4095.78,4308.41,4380.36,4217.68,4048.49,4184.23,4100.21,4166.55,3898.54,4085.66,4211.31,4379.72,4215.62,4252.62,3688.86,4143.08,4209.85,4314.43,4090.45,4194.98,4265.48,3785.13,3874.63,3468.19,3535.28,4384.72,3603.99,4931.46
DRAM,4180.97,3899.81,3813.41,4058.10,3841.82,3803.16,4076.59,3997.25,3529.28,3589.38,4243.46,4281.99,4448.83,4287.38,4058.59,4153.60,4362.78,4310.37,4153.95,4134.94,4187.20,4340.55,4168.23,4295.56,4206.00,4093.17,3887.95,4160.26,4250.94,4082.07,4232.61,4122.18,4206.33,4421.80,3585.63,4256.44,4430.66,4261.55,4016.80,3975.15,3775.38,4027.16,3484.71,4210.74,4422.19,3356.56,4082.18,3917.13,4345.97,6075.80
DRAM,4212.95,4190.13,4187.32,4181.47,4190.31,4163.24,3999.92,4101.07,3480.91,3583.71,3955.16,4279.62,4398.75,4394.94,4271.47,4002.35,4157.78,4020.98,3735.93,4273.02,4287.37,4135.91,3818.03,4096.32,4022.75,3853.65,4175.07,4163.94,4127.60,4310.93,4320.05,3994.32,4194.41,4010.58,4196.44,3768.61,3758.07,4255.17,4098.35,4353.91,4267.14,4424.96,3685.20,4002.46,4207.74,4002.23,3804.85,3528.15,3549.00,7681.23
DRAM,4060.53,4167.25,4167.19,4106.89,4217.10,4213.78,4231.10,3933.33,4305.34,3803.58,4324.43,4323.92,4017.83,4455.17,3971.05,4453.01,4014.97,4390.90,4244.39,4369.77,4128.01,3852.05,4017.58,4067.48,4362.03,4252.32,4038.09,4274.57,4244.66,4319.93,4180.86,3979.86,4289.22,4102.42,3488.63,4041.08,4240.51,3891.61,3705.52,3409.87,3633.65,3981.37,4163.83,4621.53,3850.87,4150.94,3949.09,4151.46,4448.71,4622.11
DRAM,4245.79,4194.60,4113.02,4151.16,4239.48,4229.54,4230.26,4158.61,4168.01,4110.83,4235.78,4181.12,4315.36,4441.30,4203.73,3820.56,4208.63,4456.14,4409.23,3456.14,4153.80,3980.34,4210.07,4347.24,4350.00,4276.40,3944.55,4171.47,4092.43,4191.25,4219.93,4240.97,4315.03,3863.61,4230.48,4143.75,4152.59,4063.86,3947.44,3284.64,4169.32,3996.56,3957.69,3797.07,3896.92,3842.52,3898.85,3728.30,3576.87,5462.80
DRAM,4252.70,4224.65,4216.11,4155.25,4188.69,4223.97,4228.32,4000.31,4005.05,4967.27,3568.28,2896.94,4155.52,4315.06,4334.91,4143.36,4000.80,4449.22,4340.75,3902.33,4339.00,4045.24,4270.97,4171.22,3322.36,4222.26,4123.31,4163.90,4111.70,3833.54,4076.37,4103.58,4312.19,4414.32,3958.15,4335.83,4303.65,4145.25,4020.01,4105.71,4408.54,4466.78,4097.88,3844.36,3586.04,4238.22,4550.35,3934.28,4410.18,4763.67
DRAM,4187.46,4162.89,4222.24,4173.74,4183.58,4148.64,4151.63,4242.61,4242.05,4030.06,3814.12,3420.94,4148.09,4377.83,4101.79,4418.10,3996.06,4382.75,4417.79,4086.88,4270.85,4333.41,3972.91,4103.72,4332.14,4074.53,4254.07,4268.97,4397.61,4377.69,4200.86,4172.06,4171.84,4357.36,3914.01,4258.22,4221.85,3830.42,4242.60,4312.27,4355.94,4180.40,3878.40,3727.49,4247.46,3849.25,3623.00,3596.58,4490.43,4402.50
DRAM,4174.76,4208.60,4193.72,4177.33,4206.85,4213.76,4220.69,4143.31,4094.17,4612.41,4068.43,4354.93,3890.59,3540.02,4208.38,3399.62,4137.56,4433.25,4425.22,4273.57,4191.44,4410.28,4312.31,4184.38,4300.76,4255.23,4286.79,4242.15,4100.65,3903.59,4264.59,4350.90,4277.46,4039.16,4331.45,4018.77,3886.39,4328.14,3811.45,4337.66,4310.74,4124.58,4302.36,4000.33,3605.21,3864.84,3675.17,3461.23,4122.84,4811.93
DRAM,4259.66,4239.20,4233.95,4216.25,4188.87,4202.44,4194.64,4270.62,3636.90,3405.39,4058.56,4304.32,4107.49,4436.14,4396.03,4242.81,4209.47,4387.72,4358.23,4241.26,4204.52,4342.48,4208.91,4222.44,3256.36,3996.13,4313.89,4018.80,3984.47,4358.42,3873.60,4086.74,4265.73,4248.66,4233.28,4309.76,4191.18,4217.42,4269.64,4421.34,4071.46,3868.11,4137.14,4153.79,3542.29,4805.62,5126.54,4623.68,3893.73,3979.64
DRAM,4136.92,4117.20,4085.93,4068.72,4202.52,4201.21,3621.46,3898.00,3737.26,3897.20,4231.68,4260.14,4281.45,4317.65,3973.47,4347.30,4103.38,4060.10,4416.19,4103.46,4057.12,4098.29,4365.75,4300.82,4280.30,4271.93,4050.51,4176.20,4322.66,4005.67,4263.57,4248.16,4229.75,4366.75,4396.99,4255.15,3771.54,4102.92,4176.86,4273.93,4016.04,4429.67,4335.24,4029.11,4044.27,4622.41,4926.04,3814.60,4089.03,4273.41
DRAM,4216.79,4197.19,4193.47,4155.74,4164.22,4161.36,4201.26,4171.05,3967.84,3655.42,3976.74,4185.79,4276.02,4372.15,4206.52,4253.25,4431.79,4325.34,4280.47,4359.45,4306.52,4299.60,3882.34,4197.83,4213.71,4325.86,4114.07,3794.96,4100.11,3883.39,4130.66,4256.99,4214.89,3864.62,4037.64,3923.23,4365.74,4278.25,4300.11,4377.85,4124.66,4243.52,4176.67,3844.65,3276.82,3595.64,3443.22,3378.20,4373.71,5182.41
