Threads, Total time, Iteration time, Calculation time
1,1597.003731,966.283635,630.720096
2,804.841965,497.315444,307.526521
3,547.262330,336.962644,210.299686
4,431.849923,266.635241,165.214682
5,368.093486,228.090760,140.002727
6,305.448067,190.831954,114.616112
7,260.001168,162.230535,97.770633
8,227.313625,144.011780,83.301845
9,206.982075,131.487062,75.495013
10,194.744620,126.385153,68.359468
11,182.146797,120.251167,61.895630
12,172.160359,115.374185,56.786174
13,166.722770,113.278161,53.444610
14,166.283253,114.890886,51.392367
15,162.900003,114.500458,48.399545
16,162.906303,115.664149,47.242154
