Threads, Total time, Iteration time, Calculation time
1,340.365206,209.946056,130.419150
2,176.649950,108.576941,68.073009
3,121.820721,74.547825,47.272896
4,93.704320,57.365780,36.338540
5,76.398002,47.030514,29.367488
6,63.177037,38.868864,24.308173
7,54.318771,33.650228,20.668543
8,49.047014,30.281520,18.765494
9,44.551137,27.730090,16.821047
10,41.570753,26.457197,15.113556
11,39.402753,25.597817,13.804936
12,38.034114,25.154662,12.879452
13,37.021618,25.030479,11.991139
14,36.036105,24.866136,11.169969
15,35.404508,24.928122,10.476386
16,34.782246,24.923960,9.858286
