Threads, Total time, Iteration time, Calculation time
1,320.144006,200.091265,120.052741
2,164.182903,102.932265,61.250638
3,114.314273,71.610797,42.703476
4,86.859362,54.517626,32.341736
5,70.646178,44.443909,26.202269
6,59.873550,37.845317,22.028233
7,51.671604,32.572524,19.099080
8,46.228411,29.269582,16.958829
9,42.876868,27.230236,15.646632
10,40.453362,26.206773,14.246589
11,38.716336,25.572533,13.143803
12,37.784643,25.365195,12.419448
13,36.871885,24.907116,11.964769
14,35.827445,24.699414,11.128031
15,35.162993,24.712258,10.450735
16,34.894452,24.943974,9.950477
