Threads, Total time, Iteration time, Calculation time
1,1261.690630,779.768959,481.921671
2,658.479712,411.278363,247.201349
3,447.765097,278.456053,169.309044
4,348.404029,219.888644,128.515385
5,282.040488,178.158160,103.882328
6,237.251108,148.965115,88.285993
7,212.720748,135.136390,77.584358
8,189.071605,120.763393,68.308212
9,176.454971,112.839271,63.615700
10,165.787251,108.614465,57.172786
11,158.760029,105.662529,53.097500
12,153.549676,103.314107,50.235569
13,148.730972,100.917993,47.812979
14,144.259577,99.548669,44.710908
15,141.088213,99.156307,41.931906
16,139.713037,99.809293,39.903744
